,Interest income,Interest expense,Net interest income,Fees and commissions,Market making and similar activities,Other income (loss),Total noninterest income,"Total revenue, net of interest expense",Provision for credit losses,Compensation and benefits,Information processing and communications,Occupancy and equipment,Product delivery and transaction related,Professional fees,Marketing,Other general operating,Total noninterest expense,Income before income taxes,Income tax expense,Net income,Preferred stock dividends,Net income applicable to common shareholders,Earnings (in dollars per share),Diluted earnings (in dollars per share),Average common shares issued and outstanding (in shares),Average diluted common shares issued and outstanding (in shares),"Interest-bearing deposits with the Federal Reserve, non-U.S. central banks and other banks",Cash and cash equivalents,Time deposits placed and other short-term investments,"Federal funds sold and securities borrowed or purchased under agreements to resell (includes $181,232 and $144,501 measured at fair value)","Trading account assets (includes $171,255 and $170,328 pledged as collateral)",Derivative assets,Carried at fair value,"Held-to-maturity, at cost (fair value $454,408 and $450,548)",Total debt securities,"Loans and leases (includes $5,386 and $4,249 measured at fair value)",Allowance for loan and lease losses,"Loans and leases, net of allowance","Premises and equipment, net",Goodwill,"Loans held-for-sale (includes $2,672 and $2,214 measured at fair value)",Customer and other receivables,"Other assets (includes $9,952 and $13,176 measured at fair value)",Total assets,Noninterest-bearing,Interest-bearing (includes $403 and $310 measured at fair value),Noninterest-bearing,Interest-bearing,Total deposits,"Federal funds purchased and securities loaned or sold under agreements to repurchase (includes $222,734 and $192,859 measured at fair value)",Trading account liabilities,Derivative liabilities,"Short-term borrowings (includes $6,534 and $6,245 measured at fair value)","Accrued expenses and other liabilities (includes $9,061 and $13,199 measured at fair value and $1,110 and $1,096 of reserve for unfunded lending commitments)","Long-term debt (includes $54,545 and $50,005 measured at fair value)",Total liabilities,"Preferred stock, $0.01 par value; authorized – 100,000,000 shares; issued and outstanding – 3,771,164 and 3,877,917 shares","Common stock and additional paid-in capital, $0.01 par value; authorized – 12,800,000,000 shares; issued and outstanding – 7,560,084,716 and 7,610,862,311 shares",Retained earnings,Accumulated other comprehensive income (loss),Total shareholders’ equity,Total liabilities and shareholders’ equity,"Trading account assets (includes $171,255 and $170,328 pledged as collateral)","Loans and leases (includes $5,386 and $4,249 measured at fair value)",Allowance for loan and lease losses,"Loans and leases, net of allowance","Other assets (includes $9,952 and $13,176 measured at fair value)",Total assets,"Short-term borrowings (includes $6,534 and $6,245 measured at fair value)","Long-term debt (includes $54,545 and $50,005 measured at fair value)",All other liabilities (includes $30 and $21 of non-recourse liabilities),Total liabilities
data,11395.0,1198.0,10197.0,9536.0,3529.0,-441.0,12624.0,22821.0,-1860.0,9736.0,1830.0,1425.0,977.0,371.0,403.0,773.0,15515.0,9166.0,1116.0,8050.0,490.0,7560.0,0.87,0.86,8700.1,8755.6,292541.0,326101.0,7859.0,259147.0,276881.0,45898.0,280912.0,576000.0,856912.0,903088.0,-16168.0,886920.0,10803.0,68951.0,7895.0,66404.0,156221.0,2969992.0,703822.0,1079551.0,22423.0,79142.0,1884938.0,199443.0,102788.0,42325.0,21724.0,193563.0,251211.0,2695992.0,24319.0,83071.0,170082.0,-3472.0,274000.0,2969992.0,4530.0,19346.0,-1261.0,18085.0,1387.0,24002.0,338.0,5286.0,11.0,5635.0
data,11387.0,1154.0,10233.0,9705.0,1826.0,-298.0,11233.0,21466.0,-1621.0,8653.0,1759.0,1448.0,976.0,810.0,426.0,973.0,15045.0,8042.0,-1182.0,9224.0,260.0,8964.0,1.04,1.03,8620.8,8735.5,229703.0,260030.0,7356.0,268594.0,291733.0,41498.0,288913.0,651401.0,940314.0,918928.0,-14095.0,904833.0,10747.0,69023.0,8277.0,67967.0,159522.0,3029894.0,719481.0,1076355.0,25190.0,88116.0,1909142.0,213787.0,110084.0,38916.0,21635.0,184607.0,274604.0,2752775.0,23441.0,79242.0,177499.0,-3063.0,277119.0,3029894.0,4418.0,16970.0,-1047.0,15923.0,1134.0,21475.0,324.0,5137.0,15.0,5476.0
data,12336.0,1242.0,11094.0,9915.0,2005.0,-248.0,11672.0,22766.0,-624.0,8714.0,1764.0,1416.0,987.0,347.0,434.0,778.0,14440.0,8950.0,1259.0,7691.0,431.0,7260.0,0.86,0.85,8430.7,8492.8,251165.0,279854.0,6518.0,261934.0,288566.0,40829.0,285377.0,683240.0,968617.0,927736.0,-13155.0,914581.0,10684.0,69023.0,9415.0,74998.0,160427.0,3085446.0,753107.0,1108490.0,25336.0,77871.0,1964804.0,207428.0,112217.0,38062.0,20278.0,191572.0,278621.0,2812982.0,23441.0,69612.0,183007.0,-3596.0,272464.0,3085446.0,4432.0,16857.0,-994.0,15863.0,136.0,20431.0,330.0,3830.0,10.0,4170.0
data,47672.0,4738.0,42934.0,39299.0,8691.0,-1811.0,46179.0,89113.0,-4594.0,36140.0,7138.0,5769.0,3881.0,1939.0,1775.0,3089.0,59731.0,33976.0,1998.0,31978.0,1421.0,30557.0,3.6,3.57,8493.3,8558.4,318999.0,348221.0,7144.0,250720.0,247080.0,35344.0,308073.0,674554.0,982627.0,979124.0,-12387.0,966737.0,10833.0,69022.0,15635.0,72263.0,163869.0,3169495.0,784189.0,1165914.0,27457.0,86886.0,2064446.0,192329.0,100690.0,37675.0,23753.0,200419.0,280117.0,2899429.0,24708.0,62398.0,188064.0,-5104.0,270066.0,3169495.0,5004.0,17135.0,-958.0,16177.0,189.0,21370.0,247.0,3587.0,7.0,3841.0
data,12894.0,1322.0,11572.0,8985.0,3238.0,-567.0,11656.0,23228.0,30.0,9482.0,1760.0,1540.0,933.0,397.0,450.0,757.0,15319.0,7879.0,812.0,7067.0,467.0,6600.0,0.81,0.8,8136.8,8202.1,244165.0,273934.0,5645.0,302108.0,313400.0,48231.0,297700.0,672180.0,969880.0,993145.0,-12104.0,981041.0,10820.0,69022.0,10270.0,83622.0,170250.0,3238223.0,787045.0,1178451.0,27589.0,79324.0,2072409.0,214685.0,117122.0,44266.0,24789.0,219625.0,278710.0,2971606.0,27137.0,59968.0,192929.0,-13417.0,266617.0,3238223.0,2160.0,15946.0,-880.0,15066.0,417.0,17643.0,228.0,3557.0,6.0,3791.0
data,14975.0,2531.0,12444.0,8491.0,2717.0,-964.0,10244.0,22688.0,523.0,8917.0,1748.0,1535.0,924.0,463.0,518.0,1168.0,15273.0,6892.0,645.0,6247.0,315.0,5932.0,0.73,0.73,8121.6,8163.1,168505.0,198002.0,6841.0,272430.0,294027.0,62047.0,274665.0,658245.0,932910.0,1030766.0,-11973.0,1018793.0,11016.0,69022.0,6654.0,79893.0,159971.0,3111606.0,741676.0,1134876.0,26770.0,81027.0,1984349.0,204307.0,97302.0,38425.0,27886.0,214522.0,275697.0,2842488.0,29134.0,59499.0,197159.0,-16674.0,269118.0,3111606.0,2294.0,16170.0,-832.0,15338.0,177.0,17809.0,165.0,4509.0,12.0,4686.0
data,19621.0,5856.0,13765.0,8001.0,3068.0,-332.0,10737.0,24502.0,898.0,8887.0,1777.0,1546.0,892.0,525.0,505.0,1171.0,15303.0,8301.0,1219.0,7082.0,503.0,6579.0,0.81,0.81,8107.7,8160.8,177174.0,204976.0,7449.0,275247.0,293458.0,71956.0,236245.0,643713.0,879958.0,1032466.0,-12302.0,1020164.0,11117.0,69022.0,7629.0,76211.0,155766.0,3072953.0,696976.0,1143317.0,21630.0,76174.0,1938097.0,215627.0,84768.0,50156.0,21044.0,224615.0,269122.0,2803429.0,29134.0,59460.0,201957.0,-21027.0,269524.0,3072953.0,2794.0,16073.0,-802.0,15271.0,93.0,18158.0,82.0,3240.0,9.0,3331.0
data,72565.0,20103.0,52462.0,33212.0,12075.0,-2799.0,42488.0,94950.0,2543.0,36447.0,7071.0,6279.0,3653.0,2142.0,1825.0,4021.0,61438.0,30969.0,3441.0,27528.0,1513.0,26015.0,3.21,3.19,8113.7,8167.5,199869.0,230203.0,7259.0,267574.0,296108.0,48642.0,229994.0,632825.0,862819.0,1045747.0,-12682.0,1033065.0,11510.0,69022.0,6871.0,67543.0,150759.0,3051375.0,640745.0,1182590.0,20480.0,86526.0,1930341.0,195635.0,80399.0,44816.0,26932.0,224073.0,275982.0,2778178.0,28397.0,58953.0,207003.0,-21156.0,273197.0,3051375.0,2816.0,16738.0,-797.0,15941.0,116.0,18873.0,42.0,4581.0,13.0,4636.0
data,28655.0,14207.0,14448.0,7894.0,4712.0,-796.0,11810.0,26258.0,931.0,9918.0,1799.0,1697.0,890.0,537.0,458.0,939.0,16238.0,9089.0,928.0,8161.0,505.0,7656.0,0.95,0.94,8065.9,8182.3,346891.0,376218.0,11637.0,298078.0,314978.0,40947.0,172510.0,624495.0,797005.0,1046406.0,-12514.0,1033892.0,11708.0,69022.0,6809.0,79902.0,154461.0,3194657.0,617922.0,1183106.0,17686.0,91688.0,1910402.0,314380.0,92452.0,40169.0,56564.0,216621.0,283873.0,2914461.0,28397.0,57264.0,213062.0,-18527.0,280196.0,3194657.0,4276.0,15754.0,-797.0,14957.0,129.0,19362.0,1339.0,4883.0,7.0,6229.0
data,32354.0,18196.0,14158.0,7961.0,3697.0,-619.0,11039.0,25197.0,1125.0,9401.0,1776.0,1644.0,956.0,527.0,513.0,1221.0,16038.0,8034.0,626.0,7408.0,306.0,7102.0,0.88,0.88,8040.9,8080.7,343902.0,373553.0,7941.0,276281.0,311400.0,46475.0,142040.0,614118.0,756158.0,1051224.0,-12950.0,1038274.0,11688.0,69021.0,6788.0,74000.0,151619.0,3123198.0,571621.0,1197396.0,16662.0,91530.0,1877209.0,288627.0,97818.0,43399.0,41017.0,205736.0,286073.0,2839879.0,28397.0,57267.0,218397.0,-20742.0,283319.0,3123198.0,4610.0,15884.0,-796.0,15088.0,126.0,19824.0,1877.0,5701.0,10.0,7588.0
data,33624.0,19245.0,14379.0,8135.0,3325.0,-672.0,10788.0,25167.0,1234.0,9551.0,1795.0,1676.0,880.0,545.0,501.0,890.0,15838.0,8095.0,293.0,7802.0,532.0,7270.0,0.91,0.9,8017.1,8075.9,326471.0,351726.0,7995.0,309249.0,306409.0,47464.0,175540.0,603333.0,778873.0,1049149.0,-13287.0,1035862.0,11821.0,69021.0,7591.0,74347.0,152732.0,3153090.0,549333.0,1228039.0,15276.0,91953.0,1884601.0,300703.0,102820.0,40855.0,40196.0,206492.0,290359.0,2866026.0,28397.0,56710.0,223749.0,-21792.0,287064.0,3153090.0,4654.0,16902.0,-809.0,16093.0,222.0,20969.0,2059.0,6566.0,12.0,8637.0
data,130262.0,73331.0,56931.0,32009.0,12732.0,-3091.0,41650.0,98581.0,4394.0,38330.0,7164.0,6707.0,3608.0,2159.0,1927.0,5950.0,65845.0,28342.0,1827.0,26515.0,1649.0,24866.0,3.1,3.08,8028.6,8080.5,305181.0,333073.0,8346.0,280624.0,277354.0,39323.0,276852.0,594555.0,871407.0,1053732.0,-13342.0,1040390.0,11855.0,69021.0,6002.0,81881.0,160875.0,3180151.0,530619.0,1273904.0,16427.0,102877.0,1923827.0,283887.0,95530.0,43432.0,32098.0,207527.0,302204.0,2888505.0,28397.0,56365.0,224672.0,-17788.0,291646.0,3180151.0,6054.0,18276.0,-826.0,17450.0,269.0,23773.0,2957.0,8456.0,19.0,11432.0
data,36285.0,22253.0,14032.0,8660.0,3888.0,-762.0,11786.0,25818.0,1319.0,10195.0,1811.0,1800.0,851.0,548.0,455.0,1577.0,17237.0,7262.0,588.0,6674.0,532.0,6142.0,0.77,0.76,7968.2,8031.4,289854.0,313404.0,7859.0,316093.0,318364.0,36236.0,323119.0,586863.0,909982.0,1049156.0,-13213.0,1035943.0,11901.0,69021.0,8571.0,86106.0,160323.0,3273803.0,524982.0,1304508.0,16502.0,100504.0,1946496.0,329658.0,114326.0,40401.0,38895.0,214129.0,296346.0,2980251.0,28397.0,54310.0,228902.0,-18057.0,293552.0,3273803.0,5838.0,19250.0,-920.0,18330.0,256.0,24424.0,3387.0,8157.0,18.0,11562.0
data,36854.0,23152.0,13702.0,8969.0,3298.0,-592.0,11675.0,25377.0,1508.0,9826.0,1818.0,1763.0,891.0,654.0,487.0,870.0,16309.0,7560.0,663.0,6897.0,315.0,6582.0,0.83,0.83,7897.9,7960.9,294783.0,320632.0,8369.0,337752.0,306466.0,35956.0,301051.0,577366.0,878417.0,1056785.0,-13238.0,1043547.0,11917.0,69021.0,7043.0,80978.0,157898.0,3257996.0,503037.0,1291853.0,14573.0,101028.0,1910491.0,368106.0,100345.0,40508.0,40429.0,213751.0,290474.0,2964104.0,26548.0,51376.0,233597.0,-17629.0,293892.0,3257996.0,5647.0,19827.0,-917.0,18910.0,281.0,24838.0,3343.0,9137.0,22.0,12502.0
data,37491.0,23524.0,13967.0,9119.0,3278.0,-1019.0,11378.0,25345.0,1542.0,9916.0,1836.0,1784.0,849.0,723.0,504.0,867.0,16479.0,7324.0,428.0,6896.0,516.0,6380.0,0.82,0.81,7818.0,7902.1,270742.0,295589.0,8151.0,337706.0,342135.0,34182.0,325436.0,567553.0,892989.0,1075800.0,-13251.0,1062549.0,12033.0,69021.0,10351.0,91267.0,168320.0,3324293.0,498263.0,1308856.0,15457.0,107776.0,1930352.0,397958.0,98316.0,43131.0,38440.0,222657.0,296927.0,3027781.0,24554.0,48338.0,237954.0,-14334.0,296512.0,3324293.0,6280.0,19267.0,-923.0,18344.0,278.0,24902.0,3542.0,8873.0,22.0,12437.0
data,146607.0,90547.0,56060.0,36291.0,12967.0,-3431.0,45827.0,101887.0,5821.0,40182.0,7289.0,7231.0,3494.0,2669.0,1956.0,3991.0,66812.0,29254.0,2122.0,27132.0,1629.0,25503.0,3.25,3.21,7855.5,7935.8,264111.0,290114.0,6372.0,274709.0,314460.0,40948.0,358607.0,558677.0,917284.0,1095835.0,-13240.0,1082595.0,12168.0,69021.0,9545.0,82247.0,162056.0,3261519.0,507561.0,1329014.0,16297.0,112595.0,1965467.0,331758.0,92543.0,39353.0,43391.0,210169.0,283279.0,2965960.0,23159.0,45336.0,242349.0,-15285.0,295559.0,3261519.0,5575.0,19144.0,-919.0,18225.0,319.0,24119.0,3329.0,8457.0,21.0,11807.0
data,34066.0,19623.0,14443.0,9415.0,3584.0,-76.0,12923.0,27366.0,1480.0,10889.0,1894.0,1856.0,914.0,652.0,506.0,1059.0,17770.0,8116.0,720.0,7396.0,406.0,6990.0,0.91,0.9,7677.9,7770.8,248845.0,273579.0,7282.0,328365.0,339614.0,36206.0,388559.0,550720.0,939279.0,1110625.0,-13256.0,1097369.0,12151.0,69021.0,6867.0,80329.0,159362.0,3349424.0,513905.0,1346423.0,16105.0,113131.0,1989564.0,376070.0,105470.0,35365.0,41470.0,201758.0,304146.0,3053843.0,20499.0,41038.0,247315.0,-13271.0,295581.0,3349424.0,6062.0,18045.0,-911.0,17134.0,608.0,23804.0,4289.0,8368.0,30.0,12687.0
