bank,quarter,speaker,role,paragraph,word_count,page_number,sequence,confidence,topic_category
Citigroup,Fourth Quarter 2024,"PRESENTATION
OPERATOR",MODERATOR,"Hello and welcome to Citi's Fourth Quarter 2024 Earnings Call. Today's call will be hosted by
Jenn Landis, Head of Citi Investor Relations. We ask that you please hold all questions until the completion
of the formal remarks at which time you will be given instructions for the question-and-answer session.
Also, as a reminder, this conference is being recorded today. If you have any objections, please disconnect
at this time.
Ms. Landis, you may begin.",75,1,1,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,JENNIFER LANDIS,OTHER,"Thank you, operator. Good morning and thank you all for joining our fourth quarter
2024 earnings call. I am joined today by our Chief Executive Officer, Jane Fraser, and our Chief Financial
Officer, Mark Mason.
I'd like to remind you that today's presentation, which is available for download on our website,
citigroup.com, may contain forward-looking statements which are based on management's current
expectations and are subject to uncertainty and changes in circumstances. Actual results may differ
materially from these statements due to a variety of factors, including those described in our earnings
materials as well as in our SEC filings.
And with that, I'll turn it over to Jane.",109,1,2,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,"Thank you, Jenn, and a very good morning to everyone. I am going to start with the macro
backdrop, and then walk you through our results for the full year. I will share some thoughts on the progress
we are making executing our strategy and then conclude with why we have decided to adjust our 2026
return target.
We entered 2025 with strategic clarity and good momentum across all our businesses. From the global
macro perspective, economies have done a good job tolerating hikes from central banks, and inflation has
clearly been receding. While policies will certainly impact economic activity, whether in the form of tariffs or
taxes, 2025 doesn’t look that different from 2024.
The U.S. remains at the heart of the macro picture. Growth is not only being driven by the higher end
consumer, but also by a strong, innovative corporate sector. China’s growth has been slower than expected
but there is still the prospect of further stimulus. Europe continues to underachieve. And many emerging
markets have re-emerged as bright spots, a trend which certainly benefits us given our global network and
deep presence in countries such as India and throughout the Middle East and ASEAN. I told you 2024 was a
critical year and I am proud of what we accomplished and how our businesses performed. We finished with
a very strong fourth quarter, which Mark will detail shortly.
For the full year, our net income was up nearly 40% to $12.7 billion. We exceeded our full-year revenue target
with revenues up 5% ex-divestitures. Fee revenue was up 17% and we saw a smaller impact from Argentina’s
currency devaluation. We delivered expenses within our guidance and improved our efficiency ratio by 340
bps whilst increasing investment in our Transformation. Our RoTCE grew over 200 bps, albeit from a low
level. Our five core businesses each generated positive operating leverage for the full year, which we also
achieved at the firm level.
Copyright © 2025 Citigroup Inc. 1",330,1,3,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi Fourth Quarter 2024 Earnings Call
January 15, 2025
Services was up 9% and had another record year, despite the lower rate environment, as a result of new
mandates and our emphasis on fee growth. We grew share in both TTS and Securities Services.
Capped by our best fourth quarter in a decade, Markets was up 6%. The performance of this franchise in a
low-volatility year shows the benefits of our diversified product mix.
Equities was strong throughout and was up 26% in what was a record year for us.
Banking was up 32% as we gained share across all three investment banking products. And we announced
an innovative $25 billion private credit partnership with our longtime client Apollo. Under Vis’ leadership, we
expect to continue to gain on our competition in 2025 and beyond.
2024 was the turning point for Wealth, as we sharpened our focus on investments, right-sized the expense
base, and improved the client experience. Revenue was up 7% for the year, including fee growth of 18%.
Citigold and Asia were particularly strong and Net New Investment Asset flows grew a very pleasing 40%.
We attracted top talent throughout the year in Wealth, most recently bringing in Kate Moore as our CIO and
Anne McCosker as our Head of Lending. This business has tremendous potential with both new and existing
clients, and we are really leaning into it.
USPB revenues were up 6% driven by borrowing across both card portfolios and by fee growth. We
announced a 10-year extension of our co-branded partnership with American Airlines, ensuring that this
valuable relationship enters into its fifth decade. With the acquisition of the Barclays portfolio, we will
become American Airlines’ exclusive partner in 2026 and we expect to deliver more value for our cardholders
and higher returns for our shareholders as a result.
We grew our Tangible Book Value per share by 4% and ended 2024 with a CET1 Ratio of 13.6%, approximately
150 basis points above our regulatory capital requirement.
After repurchasing $1 billion in common shares during the fourth quarter, we returned almost $7 billion in
capital to our common shareholders in 2024. Given how committed we are to returning capital, I am
particularly pleased to announce that our Board authorized a $20 billion share repurchase program.
You can see the very tangible progress we are making in executing the strategy that we laid out at our Investor
Day three years ago. We have materially simplified our firm since then. We exited consumer businesses in
nine countries, and near completion of our wind-downs in three and are on track to exit the final two. This
includes Banamex, which we legally separated from our institutional business in December. We are now fully
focused on getting ready to IPO, with the timing heavily dependent on regulatory approvals and market
conditions of course.
To align our structure with our strategy, we went through a significant simplification of our organization,
removing management layers and the regional construct. This has accelerated decision making and made
us a better partner to our clients.
We have strengthened our culture by better aligning compensation with our shareholders’ interests,
enhancing our scorecards to ensure we are delivering for clients. We attracted top industry talent throughout
our organization and that includes new leaders around my table for Banking, Wealth and Technology. We
have raised the bar on what we demand from each other and what we expect to deliver to our clients.
We have continued to innovate to improve the client experience and our efficiency. We are now live with Citi
Payments Express in 18 countries, and have converted four million retail bank customers to our Simplified
Banking platform in the U.S. We accelerated our use of AI, arming 30,000 developers with tools to write
code and launched two AI platforms to make 143,000 colleagues more efficient.
The investments we’re making to modernize our infrastructure, streamline processes and automate controls
are changing how we run the bank. We consolidated our balance sheet reporting to one unified ledger. We
implemented a cloud-based solution for risk analytics to better value trading assets. We have closed out
three long-standing consent orders. Our capital, liquidity and reserves are robust. Our focused strategy,
simpler structure and targeted client selection have all reduced our risk profile significantly.
Copyright © 2025 Citigroup Inc. 2",730,2,4,0.3,financial_results
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Thanks, Jane and good morning, everyone. I am going to start with the fourth quarter and
full-year financial results, focusing on year-over-year comparisons unless I indicate otherwise. I’ll also focus
on our current expectations for 2025 and 2026.
On slide 7, we show financial results for the full firm, which reflect improved performance both in the quarter
and the year. As a reminder, in the fourth quarter of last year, revenues were significantly impacted by
Argentina currency devaluation. Adjusted revenues and non-interest revenues for the full firm and Services
are shown in the appendix of the earnings presentation on slide 36. This quarter we reported net income of
$2.9 billion, EPS of $1.34 and an RoTCE of 6.1% on $19.6 billion of revenues, generating positive operating
leverage for the firm and in each of our businesses. Total revenues were up 12%, driven by growth in each of
our businesses and a smaller impact of Argentina currency devaluation. Net interest income excluding
Markets was roughly flat, with growth in USPB and Wealth offset by declines in Corporate/Other and
Banking. Non-interest revenue excluding Markets was up 40%, driven by continued strong fee momentum
across Services, Banking and Wealth along with lower partner payments in USPB as well as a smaller impact
of Argentina currency devaluation. And total Markets revenues were up 36%. Expenses were $13.2 billion,
down 18%, largely driven by the absence of the FDIC special assessment and restructuring charge in the prior
year. Excluding the impact of the FDIC special assessment and divestiture-related impacts, expenses were
down 7%, driven by the absence of the restructuring charge in the prior year and savings associated with our
organizational simplification, partially offset by higher volume related expenses. Cost of credit was $2.6
billion, largely consisting of cards’ net credit losses and ACL build. At the end of the quarter, we had over $22
billion in total reserves with a reserve-to-funded loans ratio of 2.7%. And on a full-year basis, we delivered
$12.7 billion of net income with an RoTCE of 7.0%.
On slide 8, we show full year revenue trends by business from 2021 to 2024. This year, we delivered $81.1
billion of revenue, up 5% on an ex-divestiture basis, driven by growth in each of our businesses and a smaller
impact of Argentina currency devaluation. Services revenues increased 9% to $19.6 billion, benefiting from
a smaller impact of Argentina currency devaluation, fee growth and higher deposit volumes. Markets
revenues increased 6% to $19.8 billion, primarily driven by growth in Equities, which had its highest annual
revenue in a decade, and Spread Products. Banking revenues increased 32% to $6.2 billion, largely driven by
growth in Investment Banking, with fees up 42% as we gained approximately 50 basis points of share on an
increased wallet. Wealth revenues increased 7% to $7.5 billion, primarily driven by a 15% increase in non-
interest revenue as we continue to grow client investment assets. USPB revenues increased 6% to $20.4
Copyright © 2025 Citigroup Inc. 3",498,3,5,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,Unknown Speaker,Unknown,"T R A N S C R I P T
Citi Fourth Quarter 2024 Earnings Call
January 15, 2025
billion, driven by growth in cards, as we continue to see strong customer engagement and an increase in
interest-earning balances, as well as lower partner payments. Overall, this year demonstrates another year
of performance consistent with our medium-term target of 4 to 5% annual growth and the value of our
diversified business model.
On slide 9, we show the full year expense trend from 2021 to 2024. Excluding the impact of the FDIC special
assessment, our full-year expenses were $53.8 billion, in line with our target. Expense reduction was driven
by savings related to our organizational simplification and stranded cost reduction, as well as lower
restructuring and repositioning charges. Organizational simplification, stranded cost reduction as well as
efforts to drive efficiencies across the businesses contributed to a net decline of roughly 10 thousand direct
staff. These savings were mostly offset by higher volume-related expenses as well as investments in the
Transformation and other risk and controls and the Civil Money Penalties. As you can see at the bottom of
the page, we spent $2.9 billion on Transformation this year, which includes investments in our
infrastructure, platforms, applications, and data. Transformation investments were up 1%, driven by an
increase in certain programs, including data, largely offset by a reduction in the Transformation Bonus
Award. And we spent $11.8 billion on technology, focused on digital innovation, new product development,
client experience and other areas such as cyber security.
Turning to slide 10, we provide details on our $2.4 trillion balance sheet, which decreased 3% sequentially,
largely driven by the impact of foreign exchange translation. In the fourth quarter, we deployed some of our
excess liquidity into loans, while maintaining a 116% LCR and $933 billion of available liquidity resources.
Our $1.3 trillion deposit base remains well-diversified across regions, industries, customers and account
types. We maintained strong capital, ending the year with a preliminary 13.6% CET1 Capital ratio,
approximately 150 basis points above our regulatory capital requirement of 12.1%. And for the year we
returned nearly $7 billion in the form of common dividends and repurchases to our shareholders. Turning to
the businesses on slide 11, we show the results for Services for the fourth quarter and full year. Services
revenues were up 15%, driven by a smaller impact of Argentina currency devaluation and reflecting continued
momentum across Securities Services and TTS, both of which gained share this year. NIR increased 61%,
driven by a smaller impact of Argentina currency devaluation, as well as continued strength in underlying fee
drivers such as USD Clearing, Commercial Card spend, Cross Border transactions, and assets under custody
and administration. NII was roughly flat, as the benefit of higher deposit volumes was offset by the impact
of lower interest rates in Argentina. Expenses increased 1%, driven by continued investment in technology
and platform modernization, partially offset by productivity savings. Cost of credit was $112 million with a
net ACL build of $84 million and net credit losses of $28 million. Average loans increased 5% primarily driven
by continued demand for export and agency finance as well as working capital loans. Average deposits
increased 4% as we continue to see growth in operating deposits. Services generated positive operating
leverage and delivered net income of $1.9 billion and $6.5 billion for the year. And continues to deliver a high
RoTCE, coming in at 29.9% and 26.0% for the year.
On slide 12, we show the results for Markets for the fourth quarter and full year. Markets saw its highest
fourth quarter revenue in a decade and increased 36% with broad based gains across all products. Fixed
Income revenues increased 37%, driven by Rates and Currencies, which were up 39%, and Spread Products
and Other Fixed Income, up 30%, both reflecting increased client activity. Rates and Currencies also
benefitted from a conducive trading environment, compared to a challenging prior year quarter. Spread
Products and Other Fixed Income was driven by Credit and Mortgage Trading as well as higher securitization
volumes. Equities revenues increased 34%, driven in part by strong execution of strategic client transactions
in Cash Equities. And momentum also continued in Prime, with balances up approximately 23%. Expenses
decreased 8%, primarily driven by lower legal expenses and productivity savings. Cost of credit was $134
million, driven by a net ACL build, primarily related to Spread Products. Average loans increased 6%, primarily
driven by asset-backed lending in Spread Products as well as margin loans in Equities. Average trading
account assets increased 15%, largely driven by client demand for US Treasuries and foreign government
securities. Markets generated another quarter of positive operating leverage and delivered net income of
$1.0 billion and $4.9 billion for the year. And delivered an RoTCE of 7.4% and 9.1% for the year.
Copyright © 2025 Citigroup Inc. 4",811,4,6,0.3,financial_results
Citigroup,Fourth Quarter 2024,End,OTHER,"Investment Banking, as we continue to gain share in areas of
Copyright © 2025 Citigroup Inc. 5",17,5,7,0.8,general_discussion
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our first question will come from Jim Mitchell with Seaport Global. Your line is now open. Please
go ahead.",19,6,8,0.6,qa_session
Citigroup,Fourth Quarter 2024,JIM MITCHELL,OTHER,"Hey, good morning everyone. Just I think as Jane noted, it seems like a material driver of the
reduction in the RoTCE target in 2026 is expenses. I think you kind of backed off the lower end of that, given
higher investments in the Transformation but also talked about it being somewhat temporary. We
appreciate the below $53 billion for 2026, but how much more is there to go beyond that in terms of
Copyright © 2025 Citigroup Inc. 6",80,6,9,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,"Happy New Year, Jim. I know you want to talk about the guidance, so let me put it into context
here. Last year, you've heard me be very clear about our two priorities. First one is driving the business
performance and the second is executing the Transformation. You've seen this quarter, you've seen last
quarter, you've seen the full year our businesses are delivering the progress we wanted them to. The strategy
is working. We've changed the business mix. We're generating more fee-based revenues. You see that in
Services with NIR up 37% this year, Wealth NIR up 15%, IB fees up 35%, an important part of the mix around
the quality of our earnings.
We said Services as a crown jewel. It's delivered growth, high returns, it's taken share. It's a crown jewel. We
made a strategic play in Wealth, and you've seen us very steadily prove out why we can be a force globally
with a clear path to delivering the financial performance that we said we would do. We've consistently
delivered on our revenue and expense targets. And I see a lot more opportunity and more upside to
strengthen our business performance. We're very tangibly getting after it. We're pretty excited by it.
The second priority, Transformation. I've got to tell you, I'm broadly pleased with the progress we've made in
risk and compliance and accountability. Kind of excited by the work we've got going on in controls for the
business as well at the moment. We've been very transparent. Data is an area we have more work to do in.
We increased our investments last year, as you know. And then as part of the annual planning process, we
took a big step back to reassess our plan. And I decided, along with Mark and the management team, we
needed to expand the scope and accelerate some of the work to satisfy our regulators' expectations.
I'm confident that the decision to do that, it was the right one. It's the right one for our Transformation efforts,
it’s certainly the right one for the firm overall. I could have taken a short-term decision to cut other
investments that are important for our long-term competitiveness, I'm just not going to do that. You
shouldn't want me to do that. And as I said in the opening comments, this 2026 target is a waypoint, not the
final destination.",399,7,10,0.6,financial_results
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"I just want to address the second part of your question, Jim, in terms of the path to the less
than 60%. I think Jane framed it out quite nicely in that we're building a franchise that will have continued
and sustainable top line revenue momentum. We are focused on driving out the inefficiencies and stranded
costs and Legacy Franchise expenses from the organization and the benefits from these investments we've
made in the Transformation will yield a lower cost structure over time as well. And so the combination of
those things will get us to that targeted operating efficiency as we come out of 2026 at less than 60%. So
yes, there is still a path, and we are focused on that path.",124,7,11,0.6,financial_results
Citigroup,Fourth Quarter 2024,JIM MITCHELL,OTHER,"Okay. Great. That's very helpful. And then just maybe pivoting to the buyback, great to see
the $20 billion authorization. Obviously, I can't help but ask about beyond 1Q. If we do sort of get this more
certainty maybe no increase in capital requirements, does that start to help you maybe at least temporarily
lower the buffer to take advantage of, you’re trading below tangible book and getting the accretion and
accelerating the buyback? Or how do you think about the rest of the year on the buybacks?",88,7,12,0.6,qa_session
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Look, I'll make a couple of comments. So one, we're very pleased to have announced the
buyback program at $20 billion. I think, in many ways, that is a demonstration, if you will, of continued
confidence in the earnings generation and momentum that we have around that as well as the recognition
that we are trading below book and not where we want to be. And you've heard both Jane and I speak to the
importance of increasing and doing more in the way of buybacks. We've increased that to $1.5 billion. I think
that supports that same degree of confidence that we have in the momentum. We are constantly looking at
every year on an annual basis as we go through our planning process at the management buffer that we have
of 100 basis points.
And despite the last couple of quarters at running above the 13.1%, our target is the 13.1%. And so as we go
through the balance of the year, as we get clarity on reg rules and what have you, you'll see us continue to
manage down to that 13.1% and obviously, the two important characteristics that we keep in mind is the
Copyright © 2025 Citigroup Inc. 7",204,7,13,0.6,financial_results
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our next question comes from the line of John McDonald with Truist Securities. Your line is now
open, please go ahead.",21,8,14,0.6,qa_session
Citigroup,Fourth Quarter 2024,JOHN MCDONALD,OTHER,"Thank you. Mark, just wanted to follow up on your answer to Jim right there. So when
you look at the 10% to 11% RoTCE target for 2026. Is that kind of assuming you'll be around the target or like
using the 13.1% as the target? And then longer term, you hope to bring that target down as rules get clarified
and the franchise gets simplified?",66,8,15,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Hey John, good to hear from you. In fact, yes, the 10% to 11% RoTCE target we've set for 2026
does assume that we are running and using a 13.1% CET1 ratio obviously, there'll be an SCB that comes out
sometime later this year. The rules are continuing to evolve and what have you, and we'll factor those in as
we know more about them. But yes, it does assume the 13.1% which is our management target, if you will, for
CET1.",82,8,16,0.6,general_discussion
Citigroup,Fourth Quarter 2024,JOHN MCDONALD,OTHER,"Okay. Great. And then my next question is, could you clarify what you're expecting this
year for card net charge-offs? Understand the quarterly cadence has seasonality. But for the full year, it
sounds like you're expecting the charge-offs to be in the range of last year's guidance. Can you just kind of
clarify that? And then maybe just talk about provision build, which you had a lot of in 2024 and whether that
could slow down as the maturation of balances slows down? Thank you.",85,8,17,0.6,opening_remarks
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Sure. So in terms of the net credit losses and the forecast that we have, we are expecting
that the net credit losses will be at the high end of the range that we've given. So in the case of Branded Cards,
that 3.5% to 4% is the full year range that we've given. In the case of Retail Services, it's 5.75% to 6.25%,
excuse me, and so right now, Retail Services is at that high end at 6.28% for 2024. We'd expect it to stay at
that high end, and then on Branded Cards, we're at 3.64%, we'd expect it to creep up to about the 4% level
over the course of the year. But remember, that is a full year NCL rate, and we know that there's seasonality
through the quarters. And so you'll see movement through the quarters based on that dynamic.
And then just in terms of the provision build, there are a couple of drivers there. One is obviously volume, and
we do expect to see volume growth in USPB. So that will be an important factor in how the CECL calculations
are done. And then the second driver is obviously, as you know, we run models and the models they have a
base scenario, they have a downside, an upside scenario depending on the broader macro factors,
unemployment, GDP, et cetera, et cetera, and our weighting towards the likelihood of high or upside or
downside scenario, those factors become important considerations in the provisioning. And so that's kind
of how we think about that going into 2025. I hope that helps.",267,8,18,0.6,guidance
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our next question will come from Mike Mayo with Wells Fargo. Your line is now open, please go
ahead.",19,8,19,0.6,qa_session
Citigroup,Fourth Quarter 2024,MIKE MAYO,OTHER,"Hi, just a clarification. So you are guiding for three consecutive years of lower expenses
including that $600 million repositioning this year. So they were down in 2024, you're guiding them lower in
2025 and you guide them lower in 2026 again, and you're also guiding for three consecutive years of higher
revenues based on what you said. I didn't see that in the written materials, but I think I heard you say that,
Mark. So three years of lower expenses, three years of higher revenues to at least 2026. Is that correct?",93,8,20,0.6,financial_results
Citigroup,Fourth Quarter 2024,MARK MASON,OTHER,"Yes, that is correct. I think you described it correctly. We're seeing continued momentum on
the top line. and we're focused on continuing to bring our expenses down just as we did in 2024, a tad bit in
2025 and then more in 2026.",44,8,21,0.6,general_discussion
Citigroup,Fourth Quarter 2024,MIKE MAYO,OTHER,"All right. And then I guess this is for Jane. Well, that beats haggis on toast, if you achieve that.
But I'm wondering why that efficiency might not improve even more. I mean if you have $5 billion of stranded
costs and Transformation costs in 2024 and some of that goes down. I heard you're investing in tech and
Copyright © 2025 Citigroup Inc. 8",65,8,22,0.6,general_discussion
Citigroup,Fourth Quarter 2024,JANE FRASER,OTHER,"First of all, I'm a little disturbed by your comment about haggis on toast. It's haggis with
mashed potatoes and whiskey, just to be clear for everyone. It's Robert Burns night coming up soon. On
expenses, Mike and everyone, expenses are a focus not just for Mark and I, but for the entire management
team. We're making sure that focus and discipline is really getting installed and instilled into the DNA of Citi.
And you've seen that, as you referenced, we've been meeting our expense guidance over the last couple of
years, we've been driving positive operating efficiency.
We're all very focused on improving our operating expense base. Consolidating technology, the
simplification work, automation, getting different utilities put in place rather than fragmented around the
firm, using AI tools now our, location strategy, right? So that core operating expense base is something that
we're really looking at how do we drive to be more efficient, more modern and getting it to the level it should
be for the revenues that we generate. We all want Transformation to get done quickly, and we want it to get
done right. So that is why our expenses are temporarily elevated to make the investments that needed there.
This is not all run rate.
And as you say, as CEO, I will not sacrifice the right long-term investments in our growth and
competitiveness for short-term expediency. This is a way point. It's not a destination. And we know what we
need to do. We've got our arms around all of this, we're just getting on with execution.",263,9,23,0.6,financial_results
Citigroup,Fourth Quarter 2024,OPERATOR,MODERATOR,"Our next question will come from the line of Betsy Graseck with Morgan Stanley. Your line is
now open, please go ahead.",22,9,24,0.6,qa_session
Citigroup,Fourth Quarter 2024,BETSY GRASECK,OTHER,"Hi good morning. Jane, just to follow up on what you mentioned, as you do execute, we all
expect, or at least I do, that the market will be giving you credit for that execution, and meaning multiples
should increase. I have a few questions here on the buyback, because right now, today, as we all know, you're
trading below book, it has got to be, buying back stock has got to be the most accretive use of capital today.
And why wait on the buyback when you can lean into it today and keep your 2026 guide, I mean, the old
guide was 11% to 12% RoTCE, new guide, 10% to 11%.
I'm kind of confused why you don't pull that lever more aggressively because buying back the stock, the
accretion to tangible book, it’s got to be the easiest thing to do to help that RoTCE go up. When you compare
and contrast against all the hard work you've been doing, which will obviously be very important to getting
the RoTCE up. But why not lean more into that buyback? And can you give us a sense of the timing of that
$20 billion? Thank you.",198,9,25,0.6,opening_remarks
